日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
廣告,Foodomo Android Developer 開發工程師,foodomo_專聯科技股份有限公司,台北市信義區,待遇面議,1. 負責公司Android APP開發及更新維護2. 獨立完成產品相關的設計、開發和測試工作，規劃程式架構，並依需求不斷更新3. 根據視覺設計及PM提供的材料能夠優化產品的用戶操作體驗4. 理解版本控制更新機制，熟悉版本發佈和測試流程. 需獨立開發項目並完成APP送審上架6. 完成主管交辦事項*有獨立完成工作及溝通的能力。*熟知 APP 發布流程方式及規定。,台北市信義區,3年以上,大學,,7bsj6,www.104.com.tw/job/7bsj6?jobsource=hotjob_chr
廣告,Software Engineer (Innovus),愛爾蘭商益華科技股份有限公司,新竹市力行六路二號,待遇面議,"This is a software engineering position in Optimization and Flow team of Cadence’s Innovus product. The key R&D group is responsible for timing and power optimization, and flow convergence.  Innovus is the premier physical design solution used by a variety of chip manufacturing companies such as mobile,  automotive , CPU & GPU cores, & AI.  The work done in this high-performance team has a huge impact on the chip industry and products used in daily life.We are looking for talented candidates with strong background in electronic design automation (timing, power analysis, optimization), and excellent software engineering skills, experience with multithreaded and distributed optimization.  We are looking for individuals that can make the next breakthrough in the technology that we provide to the customers, making big impact to the industry.The successful candidate will possess the following combination of education and experience:• MS in Computer Science or Electrical Engineering, PhD is preferred• Proficient in C/C++• Excellent programming and software engineering skills• Experience with UNIX and/or LINUX platforms is preferred• Strong knowledge of Tcl is preferred• Experience with multithreaded and/or distributed programming is preferred• Prior experience with large software development projects is highly recommended• Prior experience with timing analysis/optimization software development projects is highly recommended• Strong ability to learn• Strong analysis and problem-solving skills• Good communication skill is preferred as the development team is distributedMost importantly, we are looking for hard working, innovative engineers who enjoy working with a great team in a high-performance culture.",新竹市,7年以上,大學,外商公司,7g8ps,www.104.com.tw/job/7g8ps?jobsource=hotjob_chr
廣告,Angular / JAVA / Native APP 軟體工程師,資旅軟體開發有限公司,高雄市三民區,"55,000","我們需要會以下其中兩至三種編程 Angular, SCSS, Typescript, JAVA, Native APP, html5 , MSSQL 的工程師, 並用願意跟我們團隊學習 Spartacus and Hybris, 及編寫 impex .可在家工作, 每天需完成指定工作目標及內容期待有興趣編程 Angular / JAVA 或 Native APP 的你加入我們",高雄市三民區,經歷不拘,專科,員工23人,7fisp,www.104.com.tw/job/7fisp?jobsource=hotjob_chr
廣告,第三屆T大使募集： 數位行銷領域人才(南部地區),【企業專案招募】104未來無限整合招募中心,高雄市苓雅區,0~40,時下最火數位能力大躍進，20週培訓完全0費用，由專家帶領實作，助您取得數位轉型實戰經驗！【申請資格】(具備本國籍，可接受20週訓練期，每周訓練天數依不同實作場域而定)★應屆畢業生：111年6月畢業之教育部立案大專院校以上學歷★職場新手：108年後畢業之教育部立案大專院校以上學歷(108-111年大專院校以上畢業，目前就讀研究所亦可參加)【計畫優勢】改寫你的未來◆企業導師帶領各領域業師無私傳承，以小組方式循環漸進帶領青年前進。◆實戰成果產出理論與實務並進，企業合作落實數位轉型實作案，累積實戰經驗。◆實作獎勵與考照補貼獎勵金高達10.9萬，且能獲得6仟元國際證照考照補助。◆T大使證書完成培訓且通過評核，將頒發證書，並進入T大使人才庫，暢通求職路。【培訓項目】依需求選擇學習模式★企業專班—基礎培訓1週+企業實作19週，適合已有專業基礎者★主題學院—基礎培訓1週+主題培訓&企業實作19週，適合無專業基礎想要跨域學習者【培訓方式】依青年錄取條件與志願安排實作場域：團隊共識活動、線上課程、實體研討、轉型企業實作等活動。(最終培訓內容將由主辦單位協調安排),高雄市苓雅區,經歷不拘,專科,,7i8qp,www.104.com.tw/job/7i8qp?jobsource=hotjob_chr
廣告,SECURITY FIRMWARE ENGINEER(113242),美商超微半導體股份有限公司台灣分公司,台北市南港區園區街3號6樓,待遇面議,"THE ROLE:AMD's Client Firmware Engineering team is looking for a dynamic, self-motivated, experienced security firmware engineer to develop and debug firmware solutions for AMD’s proprietary security processor embedded within the AMD System on Chip (SoC) designs.  THE PERSON:Must have the following experience to be considered for the role: C or C++ proficiency OR experience with ARM-based designs, and sound analytical skills to ensure robust AMD Security Processor firmware solutions.  ",台北市南港區,5年以上,大學,外商公司,7alh2,www.104.com.tw/job/7alh2?jobsource=hotjob_chr
廣告,CAD-MES資深工程師,泉創生醫有限公司,新北市汐止區新北市汐止區新台五路一段93號20樓/99號35樓,待遇面議,70% MES管理+程式開發，20% UOF客制程式開發，10% 其他事項1. 負責資通CIMES，含設定、管理、教育訓練、客制開發報表與程式2. 需可緊急支援產線系統異常處理3. 需支援公司其他系統客制開發需求4. 完成主管交辦事項※面試後，依學、經歷核定任用職務與薪資※,新北市汐止區,3年以上,大學,員工300人,7dpwa,www.104.com.tw/job/7dpwa?jobsource=hotjob_chr
廣告,iOS App 工程師,太古汽車集團_英屬維京群島商太古國際汽車股份有限公司台灣分公司,台北市內湖區舊宗路一段287號(內湖好市多正對面),"55,000",1. 負責iOS App開發、測試與上架2. 配合各類後台API串接開發與資料庫應用3. 規劃執行軟體架構及模組之設計，並控管開發進度4. 錯誤修復和提高應用程序性能. 其它主管交辦事項。《此職缺享有固定性年終獎金》,台北市內湖區,2年以上,大學,員工1400人,7gz66,www.104.com.tw/job/7gz66?jobsource=hotjob_chr
廣告,第三屆T大使募集： 智慧製造領域人才(中部地區),【企業專案招募】104未來無限整合招募中心,台中市中區,0~40,時下最火數位能力大躍進，20週培訓完全0費用，由專家帶領實作，助您取得數位轉型實戰經驗！【申請資格】(具備本國籍，可接受20週訓練期，每周訓練天數依不同實作場域而定)★應屆畢業生：111年6月畢業之教育部立案大專院校以上學歷★職場新手：108年後畢業之教育部立案大專院校以上學歷(108-111年大專院校以上畢業，目前就讀研究所亦可參加)【計畫優勢】改寫你的未來◆企業導師帶領各領域業師無私傳承，以小組方式循環漸進帶領青年前進。◆實戰成果產出理論與實務並進，企業合作落實數位轉型實作案，累積實戰經驗。◆實作獎勵與考照補貼獎勵金高達10.9萬，且能獲得6仟元國際證照考照補助。◆T大使證書完成培訓且通過評核，將頒發證書，並進入T大使人才庫，暢通求職路。【培訓項目】依需求選擇學習模式★企業專班—基礎培訓1週+企業實作19週，適合已有專業基礎者★主題學院—基礎培訓1週+主題培訓&企業實作19週，適合無專業基礎想要跨域學習者【培訓方式】依青年錄取條件與志願安排實作場域：團隊共識活動、線上課程、實體研討、轉型企業實作等活動。(最終培訓內容將由主辦單位協調安排),台中市中區,經歷不拘,專科,,7i8s6,www.104.com.tw/job/7i8s6?jobsource=hotjob_chr
廣告,JAVA程式設計師,聯強國際股份有限公司,台北市中山區民生東路三段75號,"42,000",【2021菁英計劃】於集團總部負責亞太(台灣、大陸、香港、澳洲、紐西蘭…)營運系統之研發與管理， 運用營運大數據，打造聯強數位神經系統，提升營運智能。1.負責前端、後端系統開發與維護。2.應用系統模組化設計、開發、測試。3.個性主動積極，具團隊合作精神。,台北市中山區,經歷不拘,大學,上市上櫃,2buxq,www.104.com.tw/job/2buxq?jobsource=hotjob_chr
廣告,"業務專案經理 / 邏輯與溝通佳,具備企劃提案能力/接案獎金另計",樂活多媒體有限公司,台北市中正區羅斯福路四段162號4樓,"33,000","1. 預估專案工作時程、擬定專案執行計畫、資源和風險評估管理、成本控管等等。 2. 帶領專案團隊，協助專案的規劃、規格制定、執行和管控、排除風險。 3. 管控專案進度，確保專案符合時程規劃進行，定義產品規格、功能操作流程、技術文件.教學文件等相關文件產出。 4. 訪談客戶需求、設計操作Layout及規格文件撰寫。 . 客戶與跨單位的溝通協調,以及需求訪談。6.定期回報專案進度、檢討專案執行狀況、功能測試、提出問題解決方案與優化產品提案並執行與驗收。7.管理開發團隊(包含QA)並確保高標準的專案產出，制定適當的風險控制措施，以 確保可交付的成果. 8.處理網站諮詢與問題排除以及交付任務,以及專案紀錄。9.負責企劃案或文案之撰寫、規劃、提案，籌備、執行、結案，協助公司及客戶進行品牌形象設定及設計方向之確認。 10.官網與社群網站基本經營、維護以及優化網路在自然排序的搜尋。具備創意與執行力，喜愛與人互動，善用文字能力，能獨立撰稿、發想文宣。11.網站動線規劃能力、具網站企劃能力、UX用戶體驗優化。12.SEO關鍵字廣告操作、分析、成效評估及改善計畫執行；應用Google Analytics做流量預估、報表整理、成效回饋；對數字敏感度高。加分條件：1.資管/資工背景以及具有2年以上軟體RD/SA/PM工作經驗,對相關技術有一定程度的認識，例如HTML/CSS/JavaScript/PHP/MySQL ,具備良好的Coding習慣及技術文檔編寫能力.2.PMP（Project Management Professional）證照 [個人特質] 1. 主動積極 ,細心負責、開朗樂觀 2. 樂於自主學習、應用新知 3.對科技保持好奇心,熱血、有理想!<不具以上特質勿試>PS.接案獎金另計！我們的薪資依據您的能力與態度來決定，過程中您的能力表現與自我要求、責任感等都會評估在薪水上。公司位於台大公館，是生態與人文薈萃的地方。有捷運、公車可搭乘，交通很便利，環境很舒服。我們公司的官網：https://lohaslife.cc讓我們一起共織夢想，一起在這像家一樣的團隊彼此分享喜怒哀樂^^",台北市中正區,2年以上,大學,員工13人,5q2k6,www.104.com.tw/job/5q2k6?jobsource=hotjob_chr
